ID_Produksi,Tanggal,Shift,ID_Mesin,ID_Operator,ID_Material,Qty_Produksi,Qty_OK,Qty_NG,Setting_Speed_RPM,Suhu_Mesin_Celsius,Durasi_Jam
TRX-PRD-001643,2026-04-24,Shift A,MC-010,OP-037,MAT-004,2696,2652,44,800,61.3,5.82
TRX-PRD-001644,2026-06-21,Shift C,MC-013,OP-057,MAT-013,1655,1606,49,1200,68.7,5.14
TRX-PRD-001645,2026-06-07,Shift C,MC-011,,MAT-014,535,531,4,1600,82.3,4.6
TRX-PRD-001646,2026-05-03,Shift B,MC-001,OP-032,MAT-006,2058,1980,78,1000,79.9,6.94
TRX-PRD-001647,2026-03-28,Shift C,MC-004,OP-012,MAT-010,2533,2488,45,800,78.8,4.92
TRX-PRD-001648,2026-05-25,Shift A,MC-005,OP-037,MAT-009,1837,1807,30,1600,76.5,7.05
TRX-PRD-001649,2026-04-13,Shift A,MC-001,OP-006,MAT-013,1139,1131,8,800,71.6,5.93
TRX-PRD-001650,2026-04-03,Shift B,MC-006,OP-022,MAT-008,1638,1339,299,800,67.4,6.48
TRX-PRD-001651,2026-05-23,Shift C,MC-002,OP-037,MAT-001,2188,2151,37,1300,85.4,7.44
TRX-PRD-001652,2026-06-03,Shift B,MC-002,OP-046,MAT-014,1149,915,234,800,81.8,6.84
TRX-PRD-001653,2026-05-03,Shift A,MC-001,OP-002,MAT-007,2533,2486,47,1800,63.5,7.57
TRX-PRD-001654,2026-05-06,Shift B,MC-006,OP-055,MAT-006,2023,1708,315,1500,58.4,4.69
TRX-PRD-001655,2026-04-28,Shift A,MC-014,OP-012,MAT-005,2391,2358,33,1700,-54.1,4.18
TRX-PRD-001656,2026-04-04,Shift C,MC-013,OP-057,MAT-001,2189,2105,84,1300,76.9,5.59
TRX-PRD-001657,2026-04-08,Shift B,MC-007,OP-057,MAT-009,899,742,157,1600,74.5,4.59
TRX-PRD-001658,2026-03-31,Shift C,MC-002,,MAT-004,2582,2556,26,800,59.2,4.41
TRX-PRD-001659,2026-04-03,Shift B,MC-004,,MAT-014,1678,1607,71,1600,72.5,7.82
TRX-PRD-001660,2026-05-29,Shift A,MC-013,OP-050,MAT-004,601,585,16,800,58.3,4.73
TRX-PRD-001661,2026-06-04,Shift C,MC-011,OP-039,MAT-007,2941,2882,59,1500,77.3,4.82
TRX-PRD-001662,2026-06-07,Shift A,MC-004,OP-052,MAT-014,2300,2252,48,1500,71.8,7.56
TRX-PRD-001663,2026-05-22,Shift C,MC-002,OP-048,MAT-004,1066,1040,26,1800,-57.9,4.23
TRX-PRD-001664,2026-05-01,Shift B,MC-007,OP-026,MAT-011,2913,2771,142,800,69.7,7.18
TRX-PRD-001665,2026-04-03,Shift B,MC-008,OP-010,MAT-001,580,556,24,1500,75.3,6.18
TRX-PRD-001666,2026-06-06,Shift A,MC-012,OP-034,MAT-004,769,746,23,1600,64.1,4.17
TRX-PRD-001667,2026-06-14,Shift B,MC-001,OP-060,MAT-014,2535,2395,140,1700,76.4,6.12
TRX-PRD-001668,2026-05-30,Shift B,MC-011,OP-011,MAT-008,992,865,127,1700,51.3,6.23
TRX-PRD-001669,2026-05-04,Shift A,MC-007,OP-013,MAT-005,701,695,6,1800,95.4,5.06
TRX-PRD-001670,2026-04-26,Shift C,MC-013,OP-046,MAT-012,2611,2479,132,1500,68.3,7.65
TRX-PRD-001671,2026-06-14,Shift B,MC-001,OP-011,MAT-007,1071,944,127,800,77.0,4.2
TRX-PRD-001672,2026-05-25,Shift C,MC-009,OP-022,MAT-001,1148,1120,28,800,68.1,6.64
TRX-PRD-001673,2026-04-30,Shift A,MC-009,OP-021,MAT-012,2841,2778,63,1800,60.7,7.59
TRX-PRD-001674,2026-04-07,Shift C,MC-001,OP-043,MAT-005,2581,2530,51,800,78.2,7.41
TRX-PRD-001675,2026-06-05,Shift C,MC-005,OP-038,MAT-013,992,963,29,1800,69.7,7.53
TRX-PRD-001676,2026-06-02,Shift B,MC-004,OP-055,MAT-001,2708,2165,543,1200,66.0,4.1
TRX-PRD-001677,2026-06-05,Shift A,MC-008,,MAT-014,1236,1214,22,1300,65.4,4.34
TRX-PRD-001678,2026-06-12,Shift B,MC-013,OP-011,MAT-008,2918,2197,721,1500,79.9,6.4
TRX-PRD-001679,2026-05-21,Shift B,MC-009,OP-040,MAT-007,2869,2744,125,1800,85.7,4.2
TRX-PRD-001680,2026-04-02,Shift B,MC-004,OP-023,MAT-002,2879,2716,163,1700,73.7,5.71
TRX-PRD-001681,2026-05-30,Shift C,MC-011,OP-015,MAT-011,2765,2745,20,1300,83.5,5.51
TRX-PRD-001682,2026-04-10,Shift C,MC-008,OP-015,MAT-001,2977,2919,58,1700,68.3,5.13
TRX-PRD-001683,2026-06-14,Shift B,MC-009,OP-023,MAT-007,604,579,25,1500,74.4,5.25
TRX-PRD-001684,2026-04-05,Shift B,MC-003,OP-058,MAT-003,1154,831,323,1600,77.6,4.97
TRX-PRD-001685,2026-06-16,Shift B,MC-009,OP-058,MAT-010,1409,1199,210,1500,55.5,6.13
TRX-PRD-001686,2026-05-31,Shift A,MC-001,OP-012,MAT-007,2464,2433,31,1200,88.7,7.01
TRX-PRD-001687,2026-05-23,Shift B,MC-002,OP-053,MAT-002,865,657,208,1500,64.1,7.99
TRX-PRD-001688,2026-04-11,Shift B,MC-013,,MAT-010,1168,989,179,1300,78.5,4.43
TRX-PRD-001689,2026-04-24,Shift B,MC-007,OP-004,MAT-004,679,591,88,1500,66.6,6.04
TRX-PRD-001690,2026-05-18,Shift B,MC-014,OP-004,MAT-005,1737,1235,502,1800,57.2,4.5
TRX-PRD-001691,2026-04-09,Shift B,MC-011,OP-009,MAT-005,615,530,85,1700,52.7,4.25
TRX-PRD-001692,2026-05-28,Shift C,MC-012,OP-011,MAT-005,2935,2815,120,800,86.7,7.83
TRX-PRD-001693,2026-03-28,Shift C,MC-008,OP-058,MAT-002,2313,2215,98,1500,72.3,7.39
TRX-PRD-001694,2026-04-10,Shift C,MC-014,OP-046,MAT-007,2042,1975,67,1500,80.5,6.47
TRX-PRD-001695,2026-06-04,Shift B,MC-004,OP-050,MAT-005,2575,2212,363,1700,81.8,6.75
TRX-PRD-001696,2026-04-08,Shift A,MC-010,OP-029,MAT-001,953,941,12,1000,66.2,6.89
TRX-PRD-001697,2026-06-22,Shift A,MC-014,OP-032,MAT-007,682,669,13,1600,76.0,5.9
TRX-PRD-001698,2026-05-21,Shift C,MC-001,,MAT-013,2774,2750,24,1700,86.5,5.26
TRX-PRD-001699,2026-05-19,Shift C,MC-011,OP-008,MAT-005,1842,1831,11,1600,78.0,5.52
TRX-PRD-001700,2026-03-28,Shift A,MC-010,OP-012,MAT-010,1524,1498,26,1200,63.4,7.68
TRX-PRD-001701,2026-05-15,Shift C,MC-005,OP-054,MAT-008,2181,2150,31,800,61.7,5.74
TRX-PRD-001702,2026-04-17,Shift A,MC-013,OP-029,MAT-006,2507,2486,21,1800,86.9,7.57
TRX-PRD-001703,2026-06-09,Shift B,MC-005,OP-046,MAT-009,2992,2241,751,800,93.5,4.97
TRX-PRD-001704,2026-05-14,Shift A,MC-007,OP-012,MAT-003,2215,2193,22,1600,83.5,4.22
TRX-PRD-001705,2026-05-17,Shift B,MC-010,OP-020,MAT-001,2242,2105,137,1200,79.2,4.47
TRX-PRD-001706,2026-04-16,Shift A,MC-013,OP-037,MAT-008,2441,2419,22,1500,78.2,7.06
TRX-PRD-001707,2026-06-14,Shift A,MC-001,OP-016,MAT-012,909,872,37,1000,87.8,7.89
TRX-PRD-001708,2026-05-31,Shift C,MC-005,OP-044,MAT-001,525,516,9,800,70.4,6.36
TRX-PRD-001709,2026-05-17,Shift B,MC-008,OP-058,MAT-002,1208,955,253,1600,82.6,7.14
TRX-PRD-001710,2026-03-29,Shift C,MC-005,OP-012,MAT-007,1577,1550,27,1200,63.1,5.7
TRX-PRD-001711,2026-04-15,Shift C,MC-003,OP-019,MAT-004,2460,2423,37,1600,77.9,5.38
TRX-PRD-001712,2026-06-11,Shift C,MC-014,OP-005,MAT-006,1191,1179,12,1600,79.2,7.79
TRX-PRD-001713,2026-04-19,Shift A,MC-002,OP-020,MAT-005,1982,1949,33,1500,69.2,6.7
TRX-PRD-001714,2026-05-21,Shift A,MC-011,OP-025,MAT-006,1096,1085,11,1300,69.1,4.31
TRX-PRD-001715,2026-04-14,Shift C,MC-003,OP-025,MAT-010,2512,2470,42,1000,70.4,7.6
TRX-PRD-001716,2026-05-17,Shift C,MC-004,OP-060,MAT-012,1181,1162,19,1800,53.3,4.77
TRX-PRD-001717,2026-06-07,Shift B,MC-011,OP-006,MAT-006,551,521,30,800,63.1,4.27
TRX-PRD-001718,2026-05-16,Shift C,MC-014,OP-023,MAT-011,1296,1283,13,800,59.2,7.98
TRX-PRD-001719,2026-04-26,Shift A,MC-009,OP-013,MAT-004,1855,1819,36,1300,79.1,4.05
TRX-PRD-001720,2026-06-25,Shift C,MC-012,OP-016,MAT-014,2123,2036,87,1800,81.9,5.15
TRX-PRD-001721,2026-04-05,Shift C,MC-006,OP-024,MAT-011,1972,1951,21,1500,77.7,4.21
TRX-PRD-001722,2026-06-04,Shift A,MC-009,OP-006,MAT-010,1390,1368,22,1800,63.1,6.21
TRX-PRD-001723,2026-03-29,Shift B,MC-011,OP-046,MAT-002,1102,947,155,1800,85.6,6.05
TRX-PRD-001724,2026-04-29,Shift C,MC-012,,MAT-007,2901,2880,21,1200,73.2,7.06
TRX-PRD-001725,2026-06-12,Shift A,MC-006,OP-051,MAT-014,2463,2421,42,1000,65.9,5.8
TRX-PRD-001726,2026-04-14,Shift A,MC-004,OP-007,MAT-010,2713,2687,26,1700,70.1,4.7
TRX-PRD-001727,2026-04-13,Shift C,MC-014,OP-060,MAT-008,1166,1147,19,1300,85.7,7.17
TRX-PRD-001728,2026-04-16,Shift C,MC-011,OP-058,MAT-014,1143,1095,48,1300,61.1,6.07
TRX-PRD-001729,2026-06-01,Shift C,MC-012,OP-058,MAT-002,683,669,14,1000,-42.5,4.92
TRX-PRD-001730,2026-03-28,Shift A,MC-012,OP-033,MAT-007,969,947,22,800,84.5,6.03
TRX-PRD-001731,2026-06-16,Shift B,MC-014,OP-041,MAT-002,545,525,20,1000,82.4,4.76
TRX-PRD-001732,2026-05-16,Shift C,MC-005,OP-021,MAT-005,1807,1791,16,1300,68.6,4.34
TRX-PRD-001733,2026-06-01,Shift C,MC-013,OP-024,MAT-013,2754,2702,52,1200,64.6,5.24
TRX-PRD-001734,2026-06-11,Shift A,MC-011,OP-016,MAT-012,569,552,17,1800,94.5,5.62
TRX-PRD-001735,2026-04-20,Shift A,MC-014,OP-030,MAT-010,2053,2010,43,1800,78.7,5.33
TRX-PRD-001736,2026-06-24,Shift A,MC-007,OP-037,MAT-002,553,548,5,1700,80.8,5.2
TRX-PRD-001737,2026-04-08,Shift C,MC-012,OP-028,MAT-008,2718,2633,85,1600,88.9,6.46
TRX-PRD-001738,2026-06-11,Shift A,MC-010,OP-003,MAT-001,2004,1980,24,1300,83.4,6.19
TRX-PRD-001739,2026-05-04,Shift B,MC-007,OP-058,MAT-007,1152,1014,138,1700,64.9,7.14
TRX-PRD-001740,2026-06-03,Shift A,MC-007,OP-047,MAT-011,2817,2766,51,1000,78.6,7.98
TRX-PRD-001741,2026-06-20,Shift B,MC-013,OP-011,MAT-013,2922,2286,636,1700,66.0,5.81
TRX-PRD-001742,2026-04-06,Shift B,MC-007,OP-004,MAT-001,856,739,117,1200,77.2,6.81
TRX-PRD-001743,2026-05-12,Shift B,MC-011,OP-057,MAT-014,1265,1039,226,1700,-21.6,7.91
TRX-PRD-001744,2026-06-06,Shift C,MC-013,OP-012,MAT-013,2388,2333,55,1600,89.5,5.26
TRX-PRD-001745,2026-04-12,Shift B,MC-008,OP-038,MAT-003,2499,2095,404,1500,75.1,4.74
TRX-PRD-001746,2026-04-06,Shift A,MC-011,OP-013,MAT-010,2925,2868,57,1700,69.0,5.74
TRX-PRD-001747,2026-04-19,Shift A,MC-010,OP-030,MAT-002,2340,2311,29,800,72.0,7.53
TRX-PRD-001748,2026-04-30,Shift C,MC-006,OP-034,MAT-009,1919,1867,52,1500,63.2,7.33
TRX-PRD-001749,2026-04-02,Shift A,MC-013,OP-057,MAT-010,1079,1049,30,1200,93.2,5.47
TRX-PRD-001750,2026-03-28,Shift C,MC-001,OP-006,MAT-004,1901,1869,32,1700,77.1,4.21
TRX-PRD-001751,2026-04-18,Shift A,MC-003,OP-041,MAT-009,1167,1143,24,1600,65.2,7.54
TRX-PRD-001752,2026-05-02,Shift A,MC-002,OP-044,MAT-014,2616,2565,51,1200,85.2,5.05
TRX-PRD-001753,2026-05-24,Shift A,MC-003,OP-006,MAT-009,2028,2009,19,800,84.2,4.24
TRX-PRD-001754,2026-05-11,Shift C,MC-011,,MAT-006,504,487,17,1200,80.5,7.54
TRX-PRD-001755,2026-04-10,Shift C,MC-011,OP-011,MAT-002,678,645,33,1600,53.3,7.27
TRX-PRD-001756,2026-05-23,Shift A,MC-010,OP-018,MAT-008,790,756,34,1700,79.2,6.72
TRX-PRD-001757,2026-03-28,Shift C,MC-005,OP-043,MAT-005,2801,2749,52,1600,88.1,4.91
TRX-PRD-001758,2026-06-18,Shift A,MC-010,OP-040,MAT-009,2847,2799,48,1300,64.1,5.65
TRX-PRD-001759,2026-04-13,Shift B,MC-005,OP-056,MAT-012,860,761,99,1200,72.5,4.81
TRX-PRD-001760,2026-05-06,Shift C,MC-002,OP-027,MAT-006,685,656,29,1200,81.9,6.25
TRX-PRD-001761,2026-06-14,Shift B,MC-011,OP-022,MAT-005,1373,1138,235,1600,66.6,6.1
TRX-PRD-001762,2026-04-27,Shift B,MC-003,OP-053,MAT-014,1618,1350,268,1700,-32.3,5.72
TRX-PRD-001763,2026-04-21,Shift B,MC-004,OP-026,MAT-009,1299,1261,38,1500,75.6,5.27
TRX-PRD-001764,2026-04-26,Shift B,MC-013,OP-035,MAT-009,694,664,30,1600,71.9,5.78
TRX-PRD-001765,2026-05-23,Shift C,MC-012,OP-035,MAT-010,1874,1861,13,1600,70.5,7.84
TRX-PRD-001766,2026-04-17,Shift A,MC-003,OP-004,MAT-006,1829,1759,70,1000,92.3,6.52
TRX-PRD-001767,2026-05-06,Shift C,MC-011,OP-016,MAT-002,910,869,41,1800,68.3,7.77
TRX-PRD-001768,2026-04-09,Shift B,MC-011,OP-004,MAT-005,2323,1761,562,1700,67.7,6.81
TRX-PRD-001769,2026-04-18,Shift B,MC-007,OP-048,MAT-005,840,695,145,1200,78.9,7.57
TRX-PRD-001770,2026-06-21,Shift A,MC-008,,MAT-001,543,536,7,1200,83.4,7.04
TRX-PRD-001771,2026-06-25,Shift C,MC-002,OP-010,MAT-014,1249,1237,12,1600,54.8,6.62
TRX-PRD-001772,2026-06-23,Shift B,MC-008,OP-046,MAT-001,2516,1921,595,1000,46.7,6.82
TRX-PRD-001773,2026-04-13,Shift B,MC-009,OP-031,MAT-010,1999,1893,106,800,81.4,6.67
TRX-PRD-001774,2026-04-05,Shift A,MC-007,OP-054,MAT-005,549,542,7,1300,91.2,6.32
TRX-PRD-001775,2026-03-28,Shift A,MC-003,OP-019,MAT-009,1664,1642,22,1000,72.5,5.2
TRX-PRD-001776,2026-06-14,Shift C,MC-004,OP-054,MAT-003,2734,2678,56,1600,81.3,7.0
TRX-PRD-001777,2026-05-14,Shift C,MC-006,OP-003,MAT-002,636,626,10,800,71.8,5.95
TRX-PRD-001778,2026-06-09,Shift A,MC-001,OP-049,MAT-014,2742,2717,25,800,65.6,5.55
TRX-PRD-001779,2026-05-23,Shift B,MC-001,OP-028,MAT-012,1013,803,210,1300,69.3,6.28
TRX-PRD-001780,2026-05-03,Shift A,MC-012,OP-048,MAT-007,2510,2419,91,1800,70.3,7.39
TRX-PRD-001781,2026-04-17,Shift B,MC-001,,MAT-014,545,421,124,1000,66.4,7.94
TRX-PRD-001782,2026-05-07,Shift A,MC-007,OP-022,MAT-009,1543,1463,80,1200,75.4,6.51
TRX-PRD-001783,2026-06-20,Shift C,MC-012,OP-020,MAT-005,1855,1835,20,1000,79.8,6.95
TRX-PRD-001784,2026-04-01,Shift B,MC-011,OP-053,MAT-001,2715,2255,460,1700,64.4,4.97
TRX-PRD-001785,2026-04-16,Shift C,MC-002,OP-033,MAT-004,1057,1038,19,800,83.6,6.71
TRX-PRD-001786,2026-05-25,Shift B,MC-010,OP-058,MAT-014,2816,2462,354,1200,77.5,6.37
TRX-PRD-001787,2026-06-11,Shift C,MC-005,OP-022,MAT-014,1484,1438,46,1700,89.7,7.53
TRX-PRD-001788,2026-03-29,Shift C,MC-003,OP-032,MAT-003,818,806,12,1500,68.0,5.85
TRX-PRD-001789,2026-03-31,Shift C,MC-003,OP-004,MAT-013,1910,1862,48,1200,60.6,7.01
TRX-PRD-001790,2026-03-28,Shift A,MC-007,OP-008,MAT-010,1200,1190,10,1000,70.2,7.64
TRX-PRD-001791,2026-04-12,Shift B,MC-008,,MAT-007,935,691,244,1000,84.5,4.85
TRX-PRD-001792,2026-05-14,Shift B,MC-009,OP-051,MAT-010,2399,2325,74,1800,80.3,6.76
TRX-PRD-001793,2026-05-15,Shift B,MC-001,OP-030,MAT-008,2691,2542,149,1300,76.3,7.92
TRX-PRD-001794,2026-06-13,Shift C,MC-009,OP-015,MAT-005,1858,1838,20,1500,70.3,6.63
TRX-PRD-001795,2026-06-01,Shift A,MC-012,OP-056,MAT-003,2757,2628,129,1300,80.8,6.15
TRX-PRD-001796,2026-06-16,Shift C,MC-004,,MAT-002,1636,1580,56,1500,73.7,5.12
TRX-PRD-001797,2026-04-24,Shift C,MC-012,OP-057,MAT-006,2864,2754,110,1300,68.9,6.69
TRX-PRD-001798,2026-06-16,Shift C,MC-003,OP-059,MAT-001,1634,1602,32,1200,80.9,4.52
TRX-PRD-001799,2026-05-23,Shift B,MC-014,OP-018,MAT-012,1294,1050,244,800,98.9,7.04
TRX-PRD-001800,2026-05-31,Shift A,MC-006,OP-036,MAT-004,511,504,7,800,86.8,7.17
TRX-PRD-001801,2026-04-26,Shift C,MC-008,OP-040,MAT-010,893,878,15,1300,82.2,4.28
TRX-PRD-001802,2026-03-30,Shift B,MC-010,OP-011,MAT-014,803,604,199,1800,76.1,7.46
TRX-PRD-001803,2026-04-02,Shift C,MC-003,OP-057,MAT-013,619,607,12,1500,74.2,7.86
TRX-PRD-001804,2026-06-05,Shift C,MC-002,OP-050,MAT-010,832,813,19,1300,43.3,5.68
TRX-PRD-001805,2026-03-29,Shift B,MC-006,OP-047,MAT-014,2210,2103,107,1700,63.1,7.01
TRX-PRD-001806,2026-04-02,Shift B,MC-012,OP-050,MAT-009,2112,1686,426,1600,74.5,5.21
TRX-PRD-001807,2026-05-03,Shift C,MC-013,OP-026,MAT-008,2267,2222,45,1700,67.1,6.74
TRX-PRD-001808,2026-06-13,Shift C,MC-012,OP-049,MAT-001,1738,1713,25,1700,75.3,4.76
TRX-PRD-001809,2026-04-18,Shift B,MC-007,OP-016,MAT-003,1547,1126,421,1300,75.0,6.66
TRX-PRD-001810,2026-05-10,Shift C,MC-009,OP-024,MAT-002,2608,2571,37,800,79.1,5.97
TRX-PRD-001811,2026-06-12,Shift C,MC-010,OP-054,MAT-003,1483,1470,13,1500,66.3,6.84
TRX-PRD-001812,2026-06-20,Shift B,MC-011,OP-050,MAT-009,1887,1497,390,1300,76.0,6.88
TRX-PRD-001813,2026-05-03,Shift C,MC-003,OP-005,MAT-004,1421,1398,23,1300,72.6,4.81
TRX-PRD-001814,2026-04-01,Shift C,MC-004,OP-007,MAT-006,2666,2621,45,1800,70.9,5.5
TRX-PRD-001815,2026-05-01,Shift B,MC-008,,MAT-008,1855,1471,384,1800,60.0,6.85
TRX-PRD-001816,2026-05-01,Shift C,MC-011,OP-017,MAT-004,2288,2251,37,1600,87.8,7.96
TRX-PRD-001817,2026-05-01,Shift B,MC-012,OP-033,MAT-002,2264,2162,102,1300,81.7,4.51
TRX-PRD-001818,2026-04-19,Shift B,MC-006,OP-004,MAT-001,2845,2402,443,1600,78.8,7.75
TRX-PRD-001819,2026-05-06,Shift B,MC-014,OP-015,MAT-010,1084,1038,46,1600,63.2,5.48
TRX-PRD-001820,2026-05-15,Shift B,MC-014,,MAT-004,555,417,138,1800,72.5,5.1
TRX-PRD-001821,2026-04-27,Shift B,MC-012,OP-016,MAT-002,1671,1442,229,800,81.5,7.81
TRX-PRD-001822,2026-06-19,Shift B,MC-004,OP-014,MAT-014,976,933,43,1500,75.2,7.54
TRX-PRD-001823,2026-04-24,Shift C,MC-001,OP-049,MAT-011,2375,2331,44,1300,64.0,7.63
TRX-PRD-001824,2026-03-30,Shift A,MC-011,OP-042,MAT-014,1959,1916,43,1200,43.2,4.48
TRX-PRD-001825,2026-05-14,Shift C,MC-008,OP-047,MAT-003,1356,1340,16,1600,102.6,6.63
TRX-PRD-001826,2026-04-19,Shift B,MC-009,OP-055,MAT-011,2540,2103,437,800,71.9,4.78
TRX-PRD-001827,2026-04-17,Shift C,MC-014,OP-044,MAT-006,1104,1090,14,1300,72.3,5.85
TRX-PRD-001828,2026-04-13,Shift B,MC-007,OP-046,MAT-008,513,382,131,1000,71.0,4.25
TRX-PRD-001829,2026-04-02,Shift C,MC-011,OP-013,MAT-009,757,750,7,800,79.9,5.47
TRX-PRD-001830,2026-06-19,Shift B,MC-001,OP-002,MAT-008,1229,1175,54,1200,55.5,4.75
TRX-PRD-001831,2026-05-26,Shift B,MC-004,OP-016,MAT-005,1428,1117,311,1000,61.0,4.87
TRX-PRD-001832,2026-05-17,Shift B,MC-011,OP-042,MAT-001,1312,1264,48,1000,67.9,6.49
TRX-PRD-001833,2026-05-11,Shift C,MC-009,OP-015,MAT-001,2961,2914,47,1200,89.3,6.52
TRX-PRD-001834,2026-05-29,Shift C,MC-006,OP-032,MAT-006,1373,1357,16,1300,70.8,4.6
TRX-PRD-001835,2026-06-24,Shift C,MC-008,OP-028,MAT-009,2971,2888,83,1200,-36.3,5.45
TRX-PRD-001836,2026-05-27,Shift C,MC-014,OP-031,MAT-004,2233,2205,28,1700,81.3,5.4
TRX-PRD-001837,2026-04-01,Shift B,MC-002,,MAT-001,2594,2515,79,1200,72.2,5.99
TRX-PRD-001838,2026-04-12,Shift C,MC-013,OP-017,MAT-002,557,551,6,1800,74.4,5.59
TRX-PRD-001839,2026-05-12,Shift B,MC-014,OP-020,MAT-009,2794,2631,163,1200,77.4,7.85
TRX-PRD-001840,2026-05-30,Shift B,MC-014,OP-053,MAT-005,2148,1777,371,1800,83.7,5.77
TRX-PRD-001841,2026-04-30,Shift A,MC-004,OP-027,MAT-003,2582,2533,49,800,63.1,7.02
TRX-PRD-001842,2026-05-04,Shift A,MC-003,OP-047,MAT-014,2818,2794,24,1200,80.9,6.66
TRX-PRD-001843,2026-06-23,Shift B,MC-003,OP-022,MAT-007,1249,1013,236,1600,81.2,6.62
TRX-PRD-001844,2026-05-16,Shift A,MC-011,OP-056,MAT-011,969,947,22,800,88.5,6.73
TRX-PRD-001845,2026-05-29,Shift A,MC-014,OP-001,MAT-006,1438,1419,19,1500,68.5,6.61
TRX-PRD-001846,2026-05-08,Shift A,MC-011,OP-020,MAT-003,2143,2129,14,800,81.9,5.15
TRX-PRD-001847,2026-05-18,Shift A,MC-014,,MAT-006,1633,1603,30,1800,73.6,5.27
TRX-PRD-001848,2026-06-08,Shift A,MC-003,OP-011,MAT-012,1596,1545,51,1000,69.4,7.07
TRX-PRD-001849,2026-06-22,Shift B,MC-007,OP-034,MAT-011,874,699,175,1700,79.8,4.85
TRX-PRD-001850,2026-05-08,Shift B,MC-008,OP-048,MAT-013,502,377,125,1200,-75.2,4.67
TRX-PRD-001851,2026-04-17,Shift B,MC-002,,MAT-011,867,771,96,1200,83.7,7.76
TRX-PRD-001852,2026-06-09,Shift A,MC-012,OP-054,MAT-009,2820,2791,29,1800,84.5,6.27
TRX-PRD-001853,2026-06-02,Shift B,MC-002,OP-022,MAT-008,1447,1251,196,1000,68.1,7.94
TRX-PRD-001854,2026-04-20,Shift A,MC-011,,MAT-006,2862,2830,32,1800,61.5,5.68
TRX-PRD-001855,2026-04-27,Shift C,MC-004,OP-038,MAT-002,2065,1989,76,1600,76.5,4.12
TRX-PRD-001856,2026-06-01,Shift C,MC-013,OP-015,MAT-003,687,682,5,1200,69.8,4.28
TRX-PRD-001857,2026-03-31,Shift C,MC-008,OP-024,MAT-010,2368,2335,33,1500,62.6,6.84
TRX-PRD-001858,2026-03-28,Shift A,MC-009,OP-035,MAT-009,2282,2260,22,1800,77.3,6.29
TRX-PRD-001859,2026-06-11,Shift B,MC-005,OP-036,MAT-007,1923,1840,83,1700,68.2,4.14
TRX-PRD-001860,2026-05-09,Shift A,MC-007,OP-031,MAT-004,2426,2406,20,1300,-54.9,6.96
TRX-PRD-001861,2026-05-01,Shift B,MC-010,,MAT-002,2816,2035,781,1600,88.7,6.78
TRX-PRD-001862,2026-04-25,Shift A,MC-001,OP-051,MAT-001,1234,1215,19,1600,81.3,4.65
TRX-PRD-001863,2026-04-17,Shift B,MC-011,OP-027,MAT-002,1786,1548,238,1500,70.3,6.48
TRX-PRD-001864,2026-06-07,Shift C,MC-013,OP-054,MAT-005,2195,2160,35,1700,77.3,7.89
TRX-PRD-001865,2026-04-30,Shift C,MC-005,OP-026,MAT-013,798,791,7,1500,81.4,5.58
TRX-PRD-001866,2026-06-13,Shift B,MC-013,OP-028,MAT-008,1667,1412,255,1300,69.3,5.08
TRX-PRD-001867,2026-05-19,Shift A,MC-009,OP-058,MAT-001,2930,2840,90,1600,73.8,4.51
TRX-PRD-001868,2026-05-28,Shift C,MC-004,OP-060,MAT-009,2886,2852,34,1500,81.7,4.63
TRX-PRD-001869,2026-03-29,Shift C,MC-013,OP-055,MAT-003,971,949,22,1800,81.0,5.92
TRX-PRD-001870,2026-05-05,Shift C,MC-009,OP-017,MAT-012,2190,2167,23,1600,81.4,7.2
TRX-PRD-001871,2026-04-13,Shift C,MC-003,OP-009,MAT-005,1639,1599,40,1700,84.3,5.53
TRX-PRD-001872,2026-04-05,Shift A,MC-010,OP-028,MAT-001,1079,1054,25,1600,69.8,7.12
TRX-PRD-001873,2026-04-23,Shift C,MC-008,OP-035,MAT-009,2936,2887,49,1700,88.3,6.33
TRX-PRD-001874,2026-06-16,Shift C,MC-008,OP-047,MAT-013,823,813,10,1300,85.6,5.04
TRX-PRD-001875,2026-05-13,Shift B,MC-004,OP-034,MAT-004,846,649,197,1000,71.2,6.17
TRX-PRD-001876,2026-05-14,Shift A,MC-004,OP-038,MAT-007,1145,1087,58,1200,-44.6,4.99
TRX-PRD-001877,2026-05-06,Shift B,MC-003,OP-034,MAT-002,576,433,143,1500,79.5,5.8
TRX-PRD-001878,2026-06-10,Shift B,MC-012,OP-045,MAT-001,2761,2637,124,1600,70.0,7.59
TRX-PRD-001879,2026-06-08,Shift C,MC-007,OP-013,MAT-011,867,857,10,1800,86.0,5.14
TRX-PRD-001880,2026-05-26,Shift A,MC-001,OP-019,MAT-001,1135,1116,19,1300,53.1,7.17
TRX-PRD-001881,2026-05-13,Shift C,MC-003,OP-047,MAT-005,2229,2191,38,1700,75.0,5.79
TRX-PRD-001882,2026-05-10,Shift C,MC-013,OP-017,MAT-009,1127,1107,20,1300,-54.7,4.06
TRX-PRD-001883,2026-05-09,Shift B,MC-002,OP-019,MAT-004,589,563,26,1300,61.0,5.63
TRX-PRD-001884,2026-05-23,Shift A,MC-012,OP-037,MAT-006,543,539,4,1800,92.5,4.57
TRX-PRD-001885,2026-05-28,Shift B,MC-006,OP-021,MAT-001,1210,1167,43,1500,85.4,4.84
